Street Number,Street Name,Borough,Zip Code,DOF Benchmarking Submission Status,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Primary Property Type - Self Selected,DOF Number of Buildings
145,WEST   86 STREET    ,MANHATTAN,10024,In Compliance ,81,531.6,Multifamily Housing,1
100,RIVERSIDE DRIVE     ,MANHATTAN,10024,In Compliance ,75,1008.1,Multifamily Housing,1
243,ECHO PLACE          ,BRONX               ,10457,In Compliance ,86,430,Multifamily Housing,1
480,PARK AVENUE         ,MANHATTAN,10022,In Compliance ,66,2091.8,Multifamily Housing,1
1438,   3 AVENUE         ,MANHATTAN,10028,In Compliance ,37,819.3,Multifamily Housing,1
236,WEST   30 STREET    ,MANHATTAN,10001,In Compliance ,97,330,Office,1
215,STERLING PLACE      ,BROOKLYN            ,11238,In Compliance ,70,360.9,Multifamily Housing,1
685,   3 AVENUE         ,MANHATTAN,10017,In Compliance ,79,3161.6,Office,2
95,LEXINGTON AVENUE    ,MANHATTAN,10016,In Compliance ,80,246.8,Multifamily Housing,1
1,WASHINGTON SQ VLLGE ,MANHATTAN,10012,In Compliance ,100,395,Multifamily Housing,2
1381,AVENUE OF THE AMER  ,MANHATTAN,10019,In Compliance ,72,2036.1,Multifamily Housing,1
173,RIVERSIDE DRIVE     ,MANHATTAN,10024,In Compliance ,81,1763.9,Multifamily Housing,1
375,RIVERSIDE DRIVE     ,MANHATTAN,10025,In Compliance ,100,949,Multifamily Housing,1
127,EAST   55 STREET    ,MANHATTAN,10022,In Compliance ,9,398.8,Hotel,1
201,EAST   25 STREET    ,MANHATTAN,10010,In Compliance ,23,1511.1,Multifamily Housing,1
50,EAST   72 STREET    ,MANHATTAN,10021,In Compliance ,61,677.5,Multifamily Housing,1
1195,BROADWAY            ,MANHATTAN,10001,In Compliance ,93,553.2,Office,1
56,WEST   22 STREET    ,MANHATTAN,10010,In Compliance ,88,214.9,Office,1
600,   3 AVENUE         ,MANHATTAN,10016,In Compliance ,65,3646.4,Office,1
119,EAST   29 STREET    ,MANHATTAN,10016,In Compliance ,53,489.8,Residence Hall/Dormitory,1
1925,EASTCHESTER ROAD    ,BRONX               ,10461,In Compliance ,55,3377.1,Multifamily Housing,1
245,LEXINGTON AVENUE    ,MANHATTAN,10016,In Compliance ,36,851.4,Office,1
2495,AMSTERDAM AVENUE    ,MANHATTAN,10033,In Compliance ,22,3464.3,Office,1
2508,AMSTERDAM AVENUE    ,MANHATTAN,10033,In Compliance ,83,870.7,Office,1
48,EAST   34 STREET    ,MANHATTAN,10016,In Compliance ,70,542.2,Residence Hall/Dormitory,1
2260,BRONX PARK EAST     ,BRONX               ,10467,In Compliance ,84,308.9,Multifamily Housing,1
2206,HOLLAND AVENUE      ,BRONX               ,10467,In Compliance ,75,392.5,Multifamily Housing,1
730,EAST  236 STREET    ,BRONX               ,10466,In Compliance ,56,523.5,Multifamily Housing,1
900,LYDIG AVENUE        ,BRONX               ,10462,In Compliance ,61,899,Multifamily Housing,1
3871,SEDGWICK AVENUE     ,BRONX               ,10463,In Compliance ,66,647.4,Multifamily Housing,1
300,EAST   79 STREET    ,MANHATTAN,10075,In Compliance ,2,401.9,Multifamily Housing,1
430,EAST   57 STREET    ,MANHATTAN,10022,In Compliance ,16,758.6,Multifamily Housing,1
85,   5 AVENUE         ,MANHATTAN,10003,In Compliance ,68,761.4,Office,1
1,PARK AVENUE         ,MANHATTAN,10016,In Compliance ,76,5508.4,Office,1
350,EAST   82 STREET    ,MANHATTAN,10028,In Compliance ,15,1104.2,Multifamily Housing,1
2678,KINGSBRIDGE TERRACE ,BRONX               ,10463,In Compliance ,16,932.4,Senior Care Community,1
400,EAST   90 STREET    ,MANHATTAN,10128,In Compliance ,6,754.6,Multifamily Housing,1
40,WORTH STREET        ,MANHATTAN,10013,In Compliance ,84,3975.2,Office,1
2495,BROADWAY            ,MANHATTAN,10025,In Compliance ,65,585.5,Multifamily Housing,1
255,EAST   74 STREET    ,MANHATTAN,10021,In Compliance ,5,2101,Multifamily Housing,1
756,WASHINGTON STREET   ,MANHATTAN,10014,In Compliance ,49,355.6,Multifamily Housing,1
636,BROADWAY            ,MANHATTAN,10012,In Compliance ,79,669.5,Office,1
1218,   2 AVENUE         ,MANHATTAN,10065,In Compliance ,3,624.5,Multifamily Housing,1
222,WEST   14 STREET    ,MANHATTAN,10011,In Compliance ,36,626.1,Multifamily Housing,1
38,LAIGHT STREET       ,MANHATTAN,10013,In Compliance ,4,354.9,Multifamily Housing,1
305,   2 AVENUE         ,MANHATTAN,10003,In Compliance ,75,785.9,Multifamily Housing,1
3840,GREYSTONE AVENUE    ,BRONX               ,10463,In Compliance ,86,995.8,Multifamily Housing,1
102,NORTH END AVENUE    ,MANHATTAN,10282,In Compliance ,4,5288.7,Hotel,1
52,EAST END AVENUE     ,MANHATTAN,10028,In Compliance ,6,594.2,Multifamily Housing,1
30,MAIN STREET         ,BROOKLYN            ,11201,In Compliance ,25,798,Multifamily Housing,1
353,EAST   78 STREET    ,MANHATTAN,10075,In Compliance ,68,230.8,Multifamily Housing,1
    33-52,  85 STREET         ,QUEENS,11372,In Compliance ,96,246.4,Multifamily Housing,1
241,EAST   86 STREET    ,MANHATTAN,10028,In Compliance ,58,589.6,Multifamily Housing,1
40,WEST   37 STREET    ,MANHATTAN,10018,In Compliance ,100,181.7,Office,1
631,HUDSON STREET       ,MANHATTAN,10014,In Compliance ,68,1536,Multifamily Housing,1
310,WEST   99 STREET    ,MANHATTAN,10025,In Compliance ,80,364.7,Multifamily Housing,1
205,WEST   95 STREET    ,MANHATTAN,10025,In Compliance ,41,324.2,Multifamily Housing,1
1522,   2 AVENUE         ,MANHATTAN,10075,In Compliance ,34,2609.6,Multifamily Housing,1
35,FEDERAL PLACE       ,STATEN ISLAND       ,10303,In Compliance ,25,3267,Multifamily Housing,1
1600,BROADWAY            ,MANHATTAN,10019,In Compliance ,13,1509.3,Multifamily Housing,1
155,WEST   70 STREET    ,MANHATTAN,10023,In Compliance ,38,995,Multifamily Housing,1
2,TIMES SQUARE        ,MANHATTAN,10036,In Compliance ,1,4026.7,Hotel,1
40,WEST   86 STREET    ,MANHATTAN,10024,In Compliance ,100,115,Multifamily Housing,1
1283,   2 AVENUE         ,MANHATTAN,10065,In Compliance ,28,2082.9,Multifamily Housing,1
40,PARK AVENUE         ,MANHATTAN,10016,In Compliance ,100,256.1,Multifamily Housing,1
20,WEST   86 STREET    ,MANHATTAN,10024,In Compliance ,100,120.5,Multifamily Housing,1
27,WEST   86 STREET    ,MANHATTAN,10024,In Compliance ,100,148.5,Multifamily Housing,1
144,WEST   86 STREET    ,MANHATTAN,10024,In Compliance ,100,124,Multifamily Housing,1
65,CENTRAL PARK WEST   ,MANHATTAN,10023,In Compliance ,61,1119,Multifamily Housing,1
241,CENTRAL PARK WEST   ,MANHATTAN,10024,In Compliance ,51,1311.6,Multifamily Housing,1
295,CENTRAL PARK WEST   ,MANHATTAN,10024,In Compliance ,100,197.4,Multifamily Housing,1
25,WEST   81 STREET    ,MANHATTAN,10024,In Compliance ,100,126.1,Multifamily Housing,1
115,WEST   86 STREET    ,MANHATTAN,10024,In Compliance ,100,140.5,Multifamily Housing,1
1299,   2 AVENUE         ,MANHATTAN,10065,In Compliance ,29,6103.5,Multifamily Housing,1
1400,BENSON STREET       ,BRONX               ,10461,In Compliance ,34,375.3,Multifamily Housing,1
211,EAST   70 STREET    ,MANHATTAN,10021,In Compliance ,41,2461.9,Multifamily Housing,1
945,   5 AVENUE         ,MANHATTAN,10021,In Compliance ,47,1494.6,Multifamily Housing,1
1085,PARK AVENUE         ,MANHATTAN,10128,In Compliance ,63,874.6,Multifamily Housing,1
222,EAST   35 STREET    ,MANHATTAN,10016,In Compliance ,57,384.3,Multifamily Housing,1
286,FT WASHINGTON AVENUE,MANHATTAN,10032,In Compliance ,89,493.2,Multifamily Housing,1
168,EAST   79 STREET    ,MANHATTAN,10075,In Compliance ,30,518.9,Multifamily Housing,1
381,CARLTON AVENUE      ,BROOKLYN            ,11238,In Compliance ,32,325.5,Multifamily Housing,1
37,WEST   12 STREET    ,MANHATTAN,10011,In Compliance ,65,1113.2,Multifamily Housing,1
592,   5 AVENUE         ,MANHATTAN,10036,In Compliance ,32,830.5,Office,1
555,WEST   59 STREET    ,MANHATTAN,10019,In Compliance ,25,1452.3,Multifamily Housing,1
2200,BROADWAY            ,MANHATTAN,10024,In Compliance ,92,1207.8,Multifamily Housing,2
225,EAST   34 STREET    ,MANHATTAN,10016,In Compliance ,32,998.6,Multifamily Housing,1
45,EAST  135 STREET    ,MANHATTAN,10037,In Compliance ,16,2097.9,Multifamily Housing,2
139,WEST   82 STREET    ,MANHATTAN,10024,In Compliance ,100,25.4,Multifamily Housing,1
500,   7 AVENUE         ,MANHATTAN,10018,In Compliance ,64,4376.4,Office,1
160,EAST   65 STREET    ,MANHATTAN,10065,In Compliance ,13,1747.1,Multifamily Housing,1
1058,MADISON AVENUE      ,MANHATTAN,10028,In Compliance ,77,497.5,Multifamily Housing,1
230,EAST   48 STREET    ,MANHATTAN,10017,In Compliance ,48,530,Multifamily Housing,1
1285,AVENUE OF THE AMER  ,MANHATTAN,10019,In Compliance ,65,14450.6,Office,1
142,WEST   36 STREET    ,MANHATTAN,10018,In Compliance ,77,578.6,Office,2
10,COOPER STREET       ,MANHATTAN,10034,In Compliance ,49,566.9,Multifamily Housing,1
145,WEST   71 STREET    ,MANHATTAN,10023,In Compliance ,78,416.2,Multifamily Housing,1
162,WEST   54 STREET    ,MANHATTAN,10019,In Compliance ,70,614.8,Multifamily Housing,1
1675,GRAND CONCOURSE     ,BRONX               ,10452,In Compliance ,13,840.4,Multifamily Housing,1
1781,RIVERSIDE DRIVE     ,MANHATTAN,10034,In Compliance ,49,623,Multifamily Housing,1
179,BENNETT AVENUE      ,MANHATTAN,10040,In Compliance ,100,126.2,Multifamily Housing,1
1793,RIVERSIDE DRIVE     ,MANHATTAN,10034,In Compliance ,48,561.6,Multifamily Housing,1
225,BENNETT AVENUE      ,MANHATTAN,10040,In Compliance ,64,539.9,Multifamily Housing,1
307,WEST   79 STREET    ,MANHATTAN,10024,In Compliance ,54,596.6,Hotel,1
4079,BROADWAY            ,MANHATTAN,10032,In Compliance ,3,620.2,Multifamily Housing,1
801,WEST  181 STREET    ,MANHATTAN,10033,In Compliance ,10,671.4,Multifamily Housing,1
60,SHERMAN AVENUE      ,MANHATTAN,10040,In Compliance ,19,690.8,Multifamily Housing,1
6555,BROADWAY            ,BRONX               ,10471,In Compliance ,70,386.7,Multifamily Housing,1
812,WEST  181 STREET    ,MANHATTAN,10033,In Compliance ,30,460.8,Multifamily Housing,1
815,WEST  181 STREET    ,MANHATTAN,10033,In Compliance ,18,684.1,Multifamily Housing,1
95,WEST  195 STREET    ,BRONX               ,10468,In Compliance ,81,405.3,Multifamily Housing,1
36,WEST   47 STREET    ,MANHATTAN,10036,In Compliance ,4,1100.5,Office,1
366,   5 AVENUE         ,MANHATTAN,10001,In Compliance ,1,6862.5,Office,1
10,EAST   40 STREET    ,MANHATTAN,10016,In Compliance ,55,3180.8,Office,1
108,WEST   39 STREET    ,MANHATTAN,10018,In Compliance ,76,484.4,Office,2
186,JORALEMON STREET    ,BROOKLYN            ,11201,In Compliance ,83,464.2,Office,1
2,WEST   45 STREET    ,MANHATTAN,10036,In Compliance ,43,1006.1,Office,1
32,EAST   57 STREET    ,MANHATTAN,10022,In Compliance ,72,668.5,Office,1
    34-01,  38 AVENUE         ,QUEENS,11101,In Compliance ,97,676.5,Office,1
437,   5 AVENUE         ,MANHATTAN,10016,In Compliance ,27,730.9,Office,1
44,COURT STREET        ,BROOKLYN            ,11201,In Compliance ,32,1624,Office,1
800,   3 AVENUE         ,MANHATTAN,10022,In Compliance ,27,5688.2,Office,1
97,FT WASHINGTON AVENUE,MANHATTAN,10032,In Compliance ,28,420,Multifamily Housing,1
130,WEST   57 STREET    ,MANHATTAN,10019,In Compliance ,75,474.5,Office,1
190,ALLEN STREET        ,MANHATTAN,10002,In Compliance ,32,842.1,Hotel,1
524,BROADWAY            ,MANHATTAN,10012,In Compliance ,46,1632.1,Office,1
120,EAST   12 STREET    ,MANHATTAN,10003,In Compliance ,78,769.1,Residence Hall/Dormitory,2
14,WASHINGTON PLACE    ,MANHATTAN,10003,In Compliance ,42,721.6,Multifamily Housing,1
436,EAST   84 STREET    ,MANHATTAN,10028,In Compliance ,36,816.5,Multifamily Housing,1
15,WASHINGTON PLACE    ,MANHATTAN,10003,In Compliance ,73,440,Multifamily Housing,1
440,KENT AVENUE         ,BROOKLYN            ,11249,In Compliance ,67,832.6,Multifamily Housing,1
2675,EAST    7 STREET    ,BROOKLYN            ,11235,In Compliance ,83,446.1,Multifamily Housing,1
   132-01,  20 AVENUE         ,QUEENS,11356,In Compliance ,46,1127.8,Supermarket/Grocery Store,1
321,WEST   54 STREET    ,MANHATTAN,10019,In Compliance ,80,372.8,Multifamily Housing,1
75,   5 AVENUE         ,MANHATTAN,10003,In Compliance ,41,310.9,Multifamily Housing,1
5,EAST   42 STREET    ,MANHATTAN,10017,In Compliance ,60,2338.8,Office,1
2616,HOMECREST AVENUE    ,BROOKLYN            ,11235,In Compliance ,82,631.8,Multifamily Housing,1
3221,EMMONS AVENUE       ,BROOKLYN            ,11235,In Compliance ,76,777.2,Multifamily Housing,1
   155-31,155 AVENUE          ,QUEENS,11414,In Compliance ,10,939.2,Multifamily Housing,16
250,WEST   40 STREET    ,MANHATTAN,10018,In Compliance ,84,291,Office,1
230,EAST   73 STREET    ,MANHATTAN,10021,In Compliance ,98,579.3,Multifamily Housing,1
2,EAST END AVENUE     ,MANHATTAN,10075,In Compliance ,86,639.6,Multifamily Housing,1
118,PARK AVENUE         ,MANHATTAN,10017,In Compliance ,48,4140.9,Office,1
   182-20,LIBERTY AVENUE      ,QUEENS,11412,In Compliance ,93,505,Refrigerated Warehouse,1
521,WEST STREET         ,MANHATTAN,10014,In Compliance ,23,1762.9,Multifamily Housing,1
421,   7 AVENUE         ,MANHATTAN,10001,In Compliance ,32,678,Office,1
    43-07,  42 STREET         ,QUEENS,11104,In Compliance ,51,563.3,Multifamily Housing,1
   114-02,  15 AVENUE         ,QUEENS,11356,In Compliance ,8,469,Non-Refrigerated Warehouse,3
    35-20, 147 STREET         ,QUEENS,11354,In Compliance ,65,522.1,Multifamily Housing,1
40,WEST   77 STREET    ,MANHATTAN,10024,In Compliance ,96,751.1,Multifamily Housing,1
45,GRAMERCY PARK NORTH ,MANHATTAN,10010,In Compliance ,67,495.9,Multifamily Housing,1
29,WASHINGTON SQUARE W ,MANHATTAN,10011,In Compliance ,100,447.6,Multifamily Housing,1
2390,PALISADE AVENUE     ,BRONX               ,10463,In Compliance ,80,547.7,Multifamily Housing,1
153,FATHER ZEISER PLACE ,BRONX               ,10468,In Compliance ,100,30.2,Multifamily Housing,1
2568,BROADWAY            ,MANHATTAN,10025,In Compliance ,26,469.4,Multifamily Housing,1
483,BROADWAY            ,MANHATTAN,10013,In Compliance ,82,282.5,Office,1
119,WEST   57 STREET    ,MANHATTAN,10019,In Compliance ,59,798.3,Office,2
118,WEST   22 STREET    ,MANHATTAN,10011,In Compliance ,85,447.7,Office,1
787,BROADWAY            ,MANHATTAN,10003,In Compliance ,98,210.8,Residence Hall/Dormitory,1
10237,FARRAGUT ROAD       ,BROOKLYN            ,11236,In Compliance ,76,438.5,Non-Refrigerated Warehouse,1
21,UNION SQUARE        ,MANHATTAN,10003,In Compliance ,67,304.4,Residence Hall/Dormitory,1
   143-51,ROOSEVELT AVENUE    ,QUEENS,11354,In Compliance ,13,482.4,Multifamily Housing,2
834,   8 AVENUE         ,MANHATTAN,10019,In Compliance ,76,941.6,Multifamily Housing,1
2383,   2 AVENUE         ,MANHATTAN,10035,In Compliance ,1,3032.4,Multifamily Housing,1
211,EAST  122 STREET    ,MANHATTAN,10035,In Compliance ,14,2520.8,Multifamily Housing,1
2391,   2 AVENUE         ,MANHATTAN,10035,In Compliance ,1,2739.9,Multifamily Housing,1
   199-02,  21 AVENUE         ,QUEENS,11357,In Compliance ,3,1437.9,Multifamily Housing,8
201,EASTERN PARKWAY     ,BROOKLYN            ,11238,In Compliance ,37,908.3,Multifamily Housing,1
263,EASTERN PARKWAY     ,BROOKLYN            ,11238,In Compliance ,33,522,Multifamily Housing,1
284,EASTERN PARKWAY     ,BROOKLYN            ,11225,In Compliance ,83,373.2,Multifamily Housing,1
289,EMPIRE BOULEVARD    ,BROOKLYN            ,11225,In Compliance ,49,488.2,Multifamily Housing,1
275,LINDEN BOULEVARD    ,BROOKLYN            ,11226,In Compliance ,85,584.8,Multifamily Housing,1
751,TROY AVENUE         ,BROOKLYN            ,11203,In Compliance ,62,528.8,Multifamily Housing,1
431,CENTRAL PARK WEST   ,MANHATTAN,10025,In Compliance ,12,913,Multifamily Housing,1
   199-12,  19 AVENUE         ,QUEENS,11357,In Compliance ,52,1346.1,Multifamily Housing,7
395,BROADWAY            ,MANHATTAN,10013,In Compliance ,55,707.3,Multifamily Housing,1
2254,CEDAR AVENUE        ,BRONX               ,10468,In Compliance ,100,10.2,Multifamily Housing,1
   199-01,  17 AVENUE         ,QUEENS,11357,In Compliance ,11,874.6,Multifamily Housing,6
350,  65 STREET         ,BROOKLYN            ,11220,In Compliance ,66,1911.6,Multifamily Housing,1
823,COLGATE AVENUE      ,BRONX               ,10473,In Compliance ,61,5499.4,Multifamily Housing,4
   245-50,  62 AVENUE         ,QUEENS,11362,In Compliance ,7,393.5,Multifamily Housing,7
    98-09,  64 ROAD           ,QUEENS,11374,In Compliance ,80,306.7,Multifamily Housing,2
    98-25,  64 ROAD           ,QUEENS,11374,In Compliance ,40,431.8,Multifamily Housing,2
350,EAST   57 STREET    ,MANHATTAN,10022,In Compliance ,83,316.5,Multifamily Housing,1
   166-02,  17 ROAD           ,QUEENS,11357,In Compliance ,25,901.4,Multifamily Housing,11
176,BROADWAY            ,MANHATTAN,10038,In Compliance ,60,795.8,Multifamily Housing,1
    18-09, 160 STREET         ,QUEENS,11357,In Compliance ,1,926.9,Multifamily Housing,7
750,   3 AVENUE         ,MANHATTAN,10017,In Compliance ,72,5850.5,Office,1
   242-06,HORACE HARDING EXPRE,QUEENS,11362,In Compliance ,21,513.3,Multifamily Housing,8
   244-24,  57 DRIVE          ,QUEENS,11362,In Compliance ,24,342.8,Multifamily Housing,6
   244-08,HOR HARDING EP SR S ,QUEENS,11362,In Compliance ,19,395.8,Multifamily Housing,11
    16-02, 160 STREET         ,QUEENS,11357,In Compliance ,63,540,Multifamily Housing,1
   246-11,  57 DRIVE          ,QUEENS,11362,In Compliance ,20,476.3,Multifamily Housing,5
   160-01,  16 AVENUE         ,QUEENS,11357,In Compliance ,96,554.9,Multifamily Housing,7
2269,HAMPDEN PLACE       ,BRONX               ,10468,In Compliance ,100,6.8,Multifamily Housing,1
327,MADISON AVENUE      ,MANHATTAN,10017,In Compliance ,69,774,Office,1
919,   3 AVENUE         ,MANHATTAN,10022,In Compliance ,59,12538.1,Office,1
125,BROAD STREET        ,MANHATTAN,10004,In Compliance ,77,10370.7,Office,1
1185,AVENUE OF THE AMER  ,MANHATTAN,10036,In Compliance ,62,12098.1,Office,1
625,MADISON AVENUE      ,MANHATTAN,10022,In Compliance ,60,4649.7,Office,1
1350,AVENUE OF THE AMER  ,MANHATTAN,10019,In Compliance ,70,5991,Office,1
711,   3 AVENUE         ,MANHATTAN,10017,In Compliance ,92,2351.4,Office,1
100,PARK AVENUE         ,MANHATTAN,10017,In Compliance ,79,4996.1,Office,1
461,   5 AVENUE         ,MANHATTAN,10017,In Compliance ,81,1161.5,Office,1
120,WEST   45 STREET    ,MANHATTAN,10036,In Compliance ,74,2508.5,Office,1
600,LEXINGTON AVENUE    ,MANHATTAN,10022,In Compliance ,89,1447.4,Office,1
33,EAST   42 STREET    ,MANHATTAN,10017,In Compliance ,87,2441.9,Office,1
1680,BROADWAY            ,MANHATTAN,10019,In Compliance ,76,6293.4,Office,1
215,PARK AVENUE SOUTH   ,MANHATTAN,10003,In Compliance ,91,1755.8,Office,1
485,LEXINGTON AVENUE    ,MANHATTAN,10017,In Compliance ,82,5981.8,Office,1
1515,BROADWAY            ,MANHATTAN,10036,In Compliance ,65,18338.2,Office,1
15,EAST   33 STREET    ,MANHATTAN,10016,In Compliance ,79,1748.7,Office,1
609,   5 AVENUE         ,MANHATTAN,10017,In Compliance ,67,1708.8,Office,1
100,EAST   42 STREET    ,MANHATTAN,10017,In Compliance ,70,3361.4,Office,1
220,EAST   42 STREET    ,MANHATTAN,10017,In Compliance ,75,8745.5,Office,1
60,WEST   53 STREET    ,MANHATTAN,10019,In Compliance ,83,6327.1,Office,1
650,MADISON AVENUE      ,MANHATTAN,10022,In Compliance ,88,3202.1,Office,1
108,EAST   89 STREET    ,MANHATTAN,10128,In Compliance ,58,391.9,K-12 School,1
    94-15, 100 STREET         ,QUEENS,11416,In Compliance ,71,201.9,Manufacturing/Industrial Plant,1
100,PARKSIDE AVENUE     ,BROOKLYN            ,11226,In Compliance ,100,120.6,Multifamily Housing,2
99,PARK AVENUE         ,MANHATTAN,10016,In Compliance ,78,3131.3,Office,1
689,COLUMBUS AVENUE     ,MANHATTAN,10025,In Compliance ,76,1525.3,Multifamily Housing,2
    68-10, 108 STREET         ,QUEENS,11375,In Compliance ,82,368.4,Multifamily Housing,1
   110-11,  72 AVENUE         ,QUEENS,11375,In Compliance ,74,393.2,Multifamily Housing,1
    99-15,  66 AVENUE         ,QUEENS,11374,In Compliance ,57,325,Multifamily Housing,1
    30-11,PARSONS BOULEVARD   ,QUEENS,11354,In Compliance ,90,549.6,Multifamily Housing,1
    67-25,CLYDE STREET        ,QUEENS,11375,In Compliance ,30,580.1,Multifamily Housing,1
   117-14,UNION TURNPIKE      ,QUEENS,11415,In Compliance ,30,1253.1,Multifamily Housing,1
    84-31,VAN WYCK EXPWY SR E ,QUEENS,11435,In Compliance ,65,421.8,Multifamily Housing,1
    99-06,  58 AVENUE         ,QUEENS,11368,In Compliance ,80,1035.2,Multifamily Housing,3
    71-11,YELLOWSTONE BLVD    ,QUEENS,11375,In Compliance ,47,587.9,Multifamily Housing,1
395,FLATBUSH AVENUE EXT ,BROOKLYN            ,11201,In Compliance ,38,4349,Office,1
78,TRINITY PLACE       ,MANHATTAN,10006,In Compliance ,1,8665042,Office,1
   131-10,MAPLE AVENUE        ,QUEENS,11355,In Compliance ,48,797.8,Non-Refrigerated Warehouse,1
950,MADISON AVENUE      ,MANHATTAN,10021,In Compliance ,97,511.9,Multifamily Housing,1
340,WEST   55 STREET    ,MANHATTAN,10019,In Compliance ,61,322.4,Multifamily Housing,1
49,EAST   21 STREET    ,MANHATTAN,10010,In Compliance ,4,444.6,Multifamily Housing,1
670,WEST END AVENUE     ,MANHATTAN,10025,In Compliance ,96,927.1,Multifamily Housing,1
390,MARYLAND AVENUE     ,STATEN ISLAND       ,10305,In Compliance ,56,1057.6,Multifamily Housing,5
517,WEST   46 STREET    ,MANHATTAN,10036,In Compliance ,20,228.2,Multifamily Housing,1
530,EAST   72 STREET    ,MANHATTAN,10021,In Compliance ,1,811020,Multifamily Housing,1
315,   7 AVENUE         ,MANHATTAN,10001,In Compliance ,19,649.1,Multifamily Housing,1
920,EAST   17 STREET    ,BROOKLYN            ,11230,In Compliance ,19,1919.5,Multifamily Housing,1
323,WEST   23 STREET    ,MANHATTAN,10011,In Compliance ,57,900,Multifamily Housing,1
360,AVENUE OF THE AMER  ,MANHATTAN,10011,In Compliance ,39,467.4,Multifamily Housing,1
140,EAST   28 STREET    ,MANHATTAN,10016,In Compliance ,17,780.5,Multifamily Housing,1
50,EAST   79 STREET    ,MANHATTAN,10075,In Compliance ,29,1338.9,Multifamily Housing,1
900,   5 AVENUE         ,MANHATTAN,10021,In Compliance ,99,399.3,Multifamily Housing,1
10,BAY STREET LANDING  ,STATEN ISLAND       ,10301,In Compliance ,100,537.8,Multifamily Housing,1
40,EAST   61 STREET    ,MANHATTAN,10065,In Compliance ,77,331.1,Multifamily Housing,1
10,PLAZA ST EAST       ,BROOKLYN            ,11238,In Compliance ,100,227.8,Multifamily Housing,1
132,WEST   96 STREET    ,MANHATTAN,10025,In Compliance ,1,1227363.9,Multifamily Housing,1
1767,   2 AVENUE         ,MANHATTAN,10128,In Compliance ,96,1210.8,Multifamily Housing,1
270,BROADWAY            ,MANHATTAN,10007,In Compliance ,1,723051.7,Multifamily Housing,1
640,COLUMBUS AVENUE     ,MANHATTAN,10025,In Compliance ,1,638093.1,Multifamily Housing,1
100,WOODRUFF AVENUE     ,BROOKLYN            ,11226,In Compliance ,62,530.8,Multifamily Housing,1
135,OCEAN AVENUE        ,BROOKLYN            ,11225,In Compliance ,37,446.4,Multifamily Housing,1
104,WEST   29 STREET    ,MANHATTAN,10001,In Compliance ,76,811.8,Office,1
112,MADISON AVENUE      ,MANHATTAN,10016,In Compliance ,74,595.7,Office,1
116,EAST   16 STREET    ,MANHATTAN,10003,In Compliance ,27,699.6,Office,1
116,EAST   27 STREET    ,MANHATTAN,10016,In Compliance ,76,457.6,Office,1
30,EAST   33 STREET    ,MANHATTAN,10016,In Compliance ,70,656.5,Office,1
30,IRVING PLACE        ,MANHATTAN,10003,In Compliance ,100,224.9,Office,1
1760,MADISON AVENUE      ,MANHATTAN,10029,In Compliance ,74,425.3,Multifamily Housing,1
115,PITT STREET         ,MANHATTAN,10002,In Compliance ,87,781.9,Multifamily Housing,1
2110,BARNES AVENUE       ,BRONX               ,10462,In Compliance ,73,494.1,Multifamily Housing,1
2114,ALBEMARLE ROAD      ,BROOKLYN            ,11226,In Compliance ,92,233.3,Multifamily Housing,1
2116,DITMAS AVENUE       ,BROOKLYN            ,11226,In Compliance ,78,365.7,Multifamily Housing,1
220,EAST  204 STREET    ,BRONX               ,10458,In Compliance ,54,403.3,Multifamily Housing,1
231,OCEAN AVENUE        ,BROOKLYN            ,11225,In Compliance ,69,331.9,Multifamily Housing,1
375,EAST  205 STREET    ,BRONX               ,10467,In Compliance ,86,482.9,Multifamily Housing,1
395,OCEAN AVENUE        ,BROOKLYN            ,11226,In Compliance ,75,517.6,Multifamily Housing,1
417,OCEAN AVENUE        ,BROOKLYN            ,11226,In Compliance ,53,425.3,Multifamily Housing,1
501,BRIGHTWATER COURT   ,BROOKLYN            ,11235,In Compliance ,85,445.2,Multifamily Housing,1
550,OCEAN AVENUE        ,BROOKLYN            ,11226,In Compliance ,42,288.3,Multifamily Housing,1
701,EMPIRE BOULEVARD    ,BROOKLYN            ,11213,In Compliance ,92,243.2,Multifamily Housing,1
424,PARK AVENUE SOUTH   ,MANHATTAN,10016,In Compliance ,62,985.3,Office,1
434,PARK AVENUE SOUTH   ,MANHATTAN,10016,In Compliance ,100,437.7,Office,1
49,WEST   37 STREET    ,MANHATTAN,10018,In Compliance ,74,989.7,Office,1
71,   5 AVENUE         ,MANHATTAN,10003,In Compliance ,65,1184.6,Office,1
4,EAST   98 STREET    ,MANHATTAN,10029,In Compliance ,44,356.3,K-12 School,1
2190,BRIGHAM STREET      ,BROOKLYN            ,11229,In Compliance ,52,957.5,Multifamily Housing,3
1183,GERARD AVENUE       ,BRONX               ,10452,In Compliance ,49,387.2,Multifamily Housing,1
1865,  52 STREET         ,BROOKLYN            ,11204,In Compliance ,99,222.7,Multifamily Housing,2
3021,AVENUE Z            ,BROOKLYN            ,11235,In Compliance ,43,448.8,Multifamily Housing,1
825,MELROSE AVENUE      ,BRONX               ,10451,In Compliance ,87,366.3,Multifamily Housing,1
   141-07,  20 AVENUE         ,QUEENS,11357,In Compliance ,25,1028.2,Office,1
